time,region,C,D,V,RR,GP,P,TS,W,R
9,16,8.67376E-05,5.82897E-06,0.002563752,-15.85714286,-7.428571429,-22.57142857,-11.85714286,-21.42857143,2.428571429
10,16,8.51156E-05,4.29094E-06,0.002758463,-18.57142857,-9,-18.14285714,-9.571428571,-12.71428571,2
11,16,7.60953E-05,4.28648E-06,0.003027645,-13,-6.857142857,-11.42857143,-6.142857143,-17.57142857,1.285714286
12,16,6.32631E-05,2.75164E-06,0.004969648,-12.42857143,-6.142857143,-9.285714286,-4.857142857,-17.14285714,1.142857143
13,16,5.83525E-05,3.25863E-06,0.006584344,-12.57142857,-6,-7.285714286,-5.857142857,-11.85714286,1.142857143
14,16,5.65097E-05,2.23607E-06,0.006446312,-8.714285714,-2,16.42857143,-0.857142857,-11.71428571,-0.285714286
15,16,5.82339E-05,2.23376E-06,0.007086504,-10.57142857,-3.428571429,9.285714286,-1.857142857,-11.57142857,-1
16,16,6.17373E-05,2.48599E-06,0.007200589,-9.571428571,-2.428571429,6.285714286,-0.714285714,-10.28571429,-1
17,16,6.0147E-05,2.48342E-06,0.004701984,-11.42857143,-6.571428571,32.57142857,-7.857142857,-40.71428571,-0.142857143
18,16,5.85578E-05,1.71799E-06,0.004670154,-10.28571429,-3.142857143,74.14285714,0.714285714,-39.14285714,-3
19,16,5.46865E-05,1.97039E-06,0.007305912,-4.285714286,6.714285714,54.85714286,11.14285714,-13,-7.142857143
20,16,5.3614E-05,2.22237E-06,0.008285976,-4.714285714,5.285714286,40.28571429,6.142857143,-14.71428571,-4.857142857
21,16,5.10198E-05,1.71231E-06,0.009338402,-5,4.285714286,43.85714286,4.571428571,-19.71428571,-5.142857143
22,16,5.04597E-05,2.21805E-06,0.009442452,-4.142857143,4.857142857,55.85714286,6.142857143,-23,-6.285714286
23,16,5.16758E-05,2.97663E-06,0.006254596,-4.857142857,4,60.57142857,3.571428571,-33,-6.428571429
24,16,5.31421E-05,2.21305E-06,0.010990671,-6,4.571428571,60,6,-27.71428571,-7.857142857
25,16,6.42366E-05,2.71753E-06,0.017543427,-7.571428571,4.285714286,53.85714286,3,-29.71428571,-8
26,16,7.07545E-05,3.47442E-06,0.019881925,-7.714285714,1.142857143,47.42857143,0.428571429,-32.14285714,-5.857142857
27,16,8.38429E-05,4.48324E-06,0.017640783,-7.285714286,1.571428571,55.57142857,1,-33.85714286,-6.571428571
28,16,8.98279E-05,4.22567E-06,0.012009264,-8.142857143,0.857142857,57.57142857,-0.857142857,-38.14285714,-5.571428571
29,16,8.79642E-05,4.72696E-06,0.014115158,-6.285714286,0.142857143,54,-1.857142857,-33,-4.714285714
30,16,8.71173E-05,4.21673E-06,0.012534419,-6.857142857,0.285714286,53.85714286,-2,-33.14285714,-5
31,16,8.52598E-05,4.71756E-06,0.011798417,-2.857142857,1.571428571,64.42857143,0,-33.57142857,-5
32,16,8.31527E-05,3.19802E-06,0.010192849,-2.714285714,3.285714286,59,0.857142857,-33.28571429,-4.428571429
33,16,8.30674E-05,2.94242E-06,0.007982667,-3.142857143,4.142857143,51.14285714,0.142857143,-33.28571429,-4.285714286
34,16,8.32329E-05,3.94812E-06,0.005923603,2.714285714,8.142857143,55.85714286,5.714285714,-36,-2.714285714
35,16,8.41575E-05,3.94412E-06,0.006331231,-6.714285714,4.142857143,2.857142857,-0.857142857,-30.57142857,-0.857142857
36,16,8.75983E-05,1.92462E-06,0.004899061,-7.142857143,3.714285714,16.14285714,1.285714286,-29.57142857,-1.571428571
37,16,9.2293E-05,3.93708E-06,0.00459717,-6.285714286,1,7.428571429,-0.571428571,-27.42857143,-0.142857143
38,16,0.000103524,4.93976E-06,0.003109095,-9.571428571,0.285714286,6.142857143,-2,-22.71428571,0.571428571
39,16,0.00012656,8.20481E-06,0.003066926,-8.857142857,0.285714286,10,-2.285714286,-21,0.285714286
40,16,0.000174702,1.22191E-05,0.024607731,-13.85714286,0.285714286,20.42857143,-1.571428571,-19.42857143,0.857142857
41,16,0.000220008,1.67298E-05,0.043068037,-22.85714286,-2.714285714,1.428571429,-6.714285714,-19,2.142857143
42,16,0.000291867,1.64616E-05,0.039591705,-21.14285714,-1.857142857,0.428571429,-7,-17.71428571,2.285714286
43,16,0.000323451,1.66959E-05,0.03444103,-24.28571429,-4.857142857,-4.142857143,-14,-32.42857143,4.857142857
44,16,0.000416708,1.71806E-05,0.027995281,-28.14285714,-10.85714286,-21.85714286,-17.42857143,-28.42857143,5.142857143
45,16,0.000464431,1.13952E-05,0.030026265,-20,-3.285714286,-16.85714286,-9,-15.28571429,2.714285714
46,16,0.000444409,1.73992E-05,0.024377981,-20.42857143,-5.285714286,-19.28571429,-11.71428571,-15.85714286,2.857142857
47,16,0.000421911,1.51268E-05,0.015420297,-21.14285714,-6.571428571,-24.42857143,-14.71428571,-16,3.142857143
48,16,0.000362889,1.21067E-05,0.032710876,-20.71428571,-8.571428571,-25.85714286,-15.28571429,-15.42857143,3.714285714
49,16,0.000284937,9.34143E-06,0.015206952,-15.28571429,-5.571428571,-21.85714286,-13.28571429,-13.28571429,2.857142857
50,16,0.000162827,9.33185E-06,0.005604234,-12.14285714,-5.142857143,-16.57142857,-10.85714286,-12.28571429,2.428571429
51,16,0.000155163,8.82243E-06,0.003569577,-3.142857143,5,-17.14285714,-6.285714286,-16.57142857,2.285714286
52,16,0.000157255,9.31324E-06,0.000571818,-23.85714286,-23.42857143,23.14285714,-37.14285714,-69.28571429,11.85714286
53,16,0.000174079,9.05403E-06,0.004138547,-21,-14.85714286,-1.857142857,-21.28571429,-30,6.428571429
0,23,0.000225619,1.83807E-05,0.001392175,-25.57142857,-22,15.71428571,-27.57142857,-64.28571429,11.85714286
1,23,0.000235236,1.92412E-05,0.000440283,-23.71428571,-10.85714286,-12.28571429,-17,-24.14285714,6.428571429
2,23,0.000240974,2.32624E-05,0.001137256,-28.28571429,-12.57142857,-18.28571429,-14.57142857,-21.85714286,4.857142857
3,23,0.000235116,2.41171E-05,0.002635251,-19,-5.142857143,0.857142857,-9,-15.71428571,2.571428571
4,23,0.00022207,2.23381E-05,0.001996628,-15.28571429,-1.857142857,5.142857143,-7.428571429,-14.42857143,1.428571429
5,23,0.000215885,2.03864E-05,0.004957108,-21.28571429,-6,-20.71428571,-7.714285714,-16.57142857,3.285714286
6,23,0.000201995,1.98401E-05,0.005325605,-20.85714286,-4.285714286,-18.71428571,-8,-16.85714286,4.571428571
7,23,0.000190053,1.89442E-05,0.003886192,-17.14285714,-3.857142857,-24.42857143,-12.71428571,-18.14285714,5.571428571
8,23,0.000178478,1.7349E-05,0.003643247,-11.71428571,2.857142857,-5.571428571,-2.285714286,-10.28571429,1.428571429
9,23,0.000161321,1.64565E-05,0.003225087,-10.57142857,2.857142857,-8.285714286,-3.857142857,-19.71428571,2.142857143
10,23,0.000149613,1.52153E-05,0.000887751,-11.57142857,4.571428571,5.285714286,0.714285714,-10,1.285714286
11,23,0.000144043,1.43258E-05,0.001952796,-12.42857143,1.142857143,-9.285714286,-2.142857143,-16.42857143,1.857142857
12,23,0.000131489,1.36124E-05,0.00532919,-10.42857143,4.428571429,9.857142857,2.571428571,-12.42857143,0.285714286
13,23,0.00012734,1.4123E-05,0.007196988,-10.28571429,4.571428571,13.71428571,3.142857143,-9.714285714,-0.285714286
14,23,0.000123022,1.42835E-05,0.010460047,-9.285714286,6.571428571,-1,2.714285714,-10.28571429,0.285714286
15,23,0.000119934,1.35713E-05,0.008965233,-7.571428571,7,14,5.714285714,-9.428571429,-0.285714286
16,23,0.000121908,1.37323E-05,0.007745652,-6.285714286,8.285714286,21.85714286,10.42857143,-8.714285714,-1.714285714
17,23,0.000114987,1.40674E-05,0.001621228,-7.285714286,3.142857143,53.85714286,4,-39.14285714,-0.714285714
18,23,0.000110691,1.38792E-05,0.008223422,-13.28571429,-1,19.42857143,-1.857142857,-32,1.428571429
19,23,0.000108838,1.33428E-05,0.008064244,-2,14.28571429,47,14.14285714,-7,-2.571428571
20,23,0.000110647,1.3852E-05,0.006768936,-0.857142857,14.14285714,41.14285714,12,-12.14285714,-2
21,23,0.0001128,1.38383E-05,0.005948,0.142857143,13.85714286,44.14285714,11.85714286,-14.71428571,-2
22,23,0.000114428,1.36507E-05,0.019952248,-0.714285714,13.14285714,33.85714286,10.14285714,-16,-1.142857143
23,23,0.000122659,1.36373E-05,0.003034228,0.142857143,13,47.85714286,12.14285714,-25.71428571,-2.142857143
24,23,0.000140088,1.70991E-05,0.003031407,-2.285714286,10.85714286,39.28571429,11,-20,-2.571428571
25,23,0.000205599,2.21187E-05,0.013257489,-3,9.714285714,26.14285714,9.285714286,-20.85714286,-2.142857143
26,23,0.000252962,2.69576E-05,0.040976986,-4.857142857,8.571428571,22.57142857,7.428571429,-23.14285714,-1.285714286
27,23,0.000265032,2.77986E-05,0.028115512,-3.142857143,11,33,8.428571429,-24.57142857,-1.857142857
28,23,0.000285581,3.15865E-05,0.031231941,-7.428571429,6.857142857,19.14285714,4,-26.14285714,-1
29,23,0.000309047,3.50221E-05,0.024379219,-5,7.857142857,33,5.857142857,-25.57142857,-0.714285714
30,23,0.000312899,3.96652E-05,0.01540385,-5.142857143,8.428571429,26.57142857,5.714285714,-26,-0.428571429
31,23,0.000306359,3.97995E-05,0.010424965,-3.142857143,9.142857143,21.42857143,6.142857143,-27.14285714,0.142857143
32,23,0.000301558,4.01065E-05,0.013688699,0.571428571,11.57142857,24.71428571,9.285714286,-26.85714286,0.857142857
33,23,0.00030178,4.00671E-05,0.009552085,1.285714286,13.14285714,40.14285714,11.85714286,-26.14285714,-0.285714286
34,23,0.000294568,3.98549E-05,0.00913965,3,15.14285714,36.71428571,14.14285714,-25.71428571,-1
35,23,0.0002846,3.94701E-05,0.003016295,3.428571429,14.71428571,36.28571429,15.85714286,-23.57142857,-1
36,23,0.000274991,3.96039E-05,0.008938101,2.857142857,14.71428571,40,17.42857143,-22.28571429,-1.714285714
37,23,0.000266436,3.93926E-05,0.004910486,1.428571429,12.14285714,26,13.14285714,-21.14285714,-0.428571429
38,23,0.00026048,3.90089E-05,0.004256115,3.714285714,13.85714286,24.57142857,14.42857143,-14.57142857,-0.142857143
39,23,0.00026057,3.79357E-05,0.026397837,0,9.714285714,7,8.428571429,-15.14285714,0.857142857
40,23,0.000278589,4.41051E-05,0.002138805,2.142857143,13.57142857,40.42857143,12.28571429,-12.42857143,-0.428571429
41,23,0.000300201,4.73359E-05,0.002136884,1.142857143,12.71428571,41.85714286,12.42857143,-11.85714286,-0.142857143
42,23,0.00031265,4.83228E-05,0.002134556,-1.428571429,10.85714286,18.14285714,8.857142857,-12,1
43,23,0.000340751,5.0858E-05,0.003938379,-3.571428571,9,28.71428571,0.428571429,-32,3.714285714
44,23,0.000383434,5.57982E-05,0.005288338,-9.428571429,5.857142857,17.42857143,1.857142857,-20.57142857,2.142857143
45,23,0.000780508,6.67505E-05,0.025608061,-4.571428571,12.57142857,15,6.714285714,-9,1
46,23,0.001051859,7.0467E-05,0.023827645,-6.428571429,9.571428571,9.571428571,5.714285714,-9.428571429,1.714285714
47,23,0.000882796,5.04676E-05,0.011750245,-5.714285714,9.142857143,19.14285714,5.714285714,-9,1.571428571
48,23,0.000840379,4.23474E-05,0.011738859,-5,9,16.42857143,3.857142857,-8.142857143,1.428571429
49,23,0.00085724,2.89178E-05,0.045940168,0.571428571,12.57142857,14.28571429,7.714285714,-5.571428571,0.857142857
50,23,0.000708861,2.56299E-05,0.002591947,1.142857143,11.28571429,2.428571429,8,-5.714285714,1.857142857
51,23,0.000553325,2.44046E-05,0.002589422,12.28571429,24.42857143,8.428571429,15,-10.85714286,1.142857143
52,23,0.000505653,1.59825E-05,0.002587073,-18.28571429,-13.42857143,-7,-25.28571429,-68,11.42857143
53,23,0.000418816,1.16838E-05,0.000413949,-12.71428571,-3.285714286,6.857142857,-4.285714286,-21.85714286,5.428571429
0,24,0.000782543,3.67642E-05,0.000595608,-35.71428571,-32.14285714,-19.71428571,-35.71428571,-62.71428571,15.42857143
1,24,0.000784289,3.85148E-05,0.000418428,-26.42857143,-19.14285714,-11.42857143,-15.71428571,-22.85714286,7
2,24,0.000791981,6.1274E-05,0.001962234,-24.85714286,-17.28571429,-11,-13.71428571,-18.71428571,2.857142857
